x_in_pix,y_in_pix,z_in_pix,integratedIntensity,residuals,image_number,sample,image,physicalSizeX,physicalSizeY,physicalSizeZ
130.013579874838,124.443324702728,11.2028532100689,15923.8868988424,674.670484871984,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
252.931236790354,266.67610317056,17.6619065472972,12945.3970888343,398.780239032851,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
251.352118122783,206.962869203362,8.19448862704092,20731.3592729993,1049.97249036555,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
137.260261472924,169.019976628944,7.83119117345515,6995.22378127219,1287.81458375086,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
248.300400155049,182.292062755754,9.32233149770553,24867.3956958139,1332.78352843388,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
179.569515719646,187.683606111772,11.4231569708715,32744.1684922137,858.357577930295,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
189.892288130046,149.203803085176,12.4017295966885,16499.9467183712,622.807074951756,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
256.344528462957,192.911331557697,8.39023389614082,25322.109661305,1516.33598440217,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
136.95951116729,190.812073040666,11.1549686378541,29871.7852057394,1248.40439641857,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
286.115404388141,209.997618546828,13.0549176022695,18146.5814220158,663.642862649804,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
254.436266131458,276.770033766327,22.1432007674154,6096.55001188618,269.085310212988,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
139.693000588781,204.558093853988,15.506530579757,1902.39722780411,243.665139115064,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
275.103552263695,215.603528260618,9.56527502768352,28205.2981853877,1297.44198694716,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
140.746306141239,184.652386893842,8.1476774005462609,16806.9622735639,1643.56130471,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
283.10143266894,298.565024419492,27.2572422123254,9984.09241093573,292.81417808098,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
127.319363899899,162.772910953518,9.09598252681236,39755.8613960626,1364.35866104723,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
193.244229373871,170.391364950013,9.16249292935746,9553.80923691159,580.562000709272,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
268.345372454993,215.8914206055,4.83445252761232,35376.3841939731,1523.40489600042,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
284.171731607412,218.760217789317,11.5435038447774,6255.46818348759,1918.0927520104,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
166.086117111108,165.887521636798,15.7119656824586,8503.57026549537,1513.34661632042,1,CT16,lLNv01,0.06369344203787111,0.06369344203787111,0.3
122.094710671029,206.129570526897,11.6475074580049,26302.8008833372,1368.86185996113,1,CT16,lLNv02,0.06378157132874111,0.06378157132874111,0.3
320.129057210975,287.294187705987,2.02390744241611,1802.97962986474,170.158204202171,1,CT16,lLNv02,0.06378157132874111,0.06378157132874111,0.3
312.581624895313,331.065583562609,5.67691580305966,1687.63700851194,270.352126067738,1,CT16,lLNv02,0.06378157132874111,0.06378157132874111,0.3
257.91186831329,318.763292287738,9.09324445649338,41529.8071818235,1493.37250473565,1,CT16,lLNv02,0.06378157132874111,0.06378157132874111,0.3
